ids,locations,buildings,level,sizeFeet,BuyPricePerFeet,rentPricePerFeet,numberOfRooms,numberOfSuite,AgeOfBuilding,usage
8f0433a7-f6e0-42c5-a7ab-7c3a7a6d04de,大圍,名城 2期 盛薈 2座  ,1,958,17954,37,"4 
",,9,0.75
2ef795f6-cc1a-4070-9783-d9abe37bbd5d,九龍站,君臨天下 3座  ,1,1088,56985,,,,16,0.74
b94a9b1a-50d4-4575-bb21-6cf9219a10b7,大埔半山/康樂園,逸瓏灣 I 大廈16座  ,3,913,13899,,"3 
",1,4,
d59586c6-50d9-47a7-a018-2170945b6bbc,屯門,瓏門 1期 5座  ,1,374,17379,38,"1 
",,7,0.78
bb0b2696-8e78-4703-a22d-8998c73108e9,中半山,豪華閣  ,2,2320,32327,,"4 
",1,39,0.87
f7dc1678-0e71-4d21-bbf9-f8249603b1e7,香港仔/鴨脷洲,薄扶林花園 5座  ,2,456,16666,,,,40,0.87
89115e89-ba6d-48d6-8fdc-8c0d9fd5bea0,貝沙灣,貝沙灣 6期 6座  ,2,1119,33958,,,,11,0.7
fbe485e0-0335-4bac-9c5a-bd777990536b,大埔墟/太和,逸雅苑 逸榮閣 (A座),,544,11948,,,,28,0.75
a3c5c09a-22d3-496e-ab12-5c13aec81e64,九龍站,天璽 21座 - 6區 (彗鑽)  ,1,915,52459,71,,,12,0.73
8ae12523-6ec3-41a4-8431-70ec3c571f01,荃灣,樂悠居  ,2,420,14761,38,"2 
",,14,0.72
5cba5ff6-31ee-466c-9608-7fcafdea7a6e,香港仔/鴨脷洲,南灣 8座  ,1,1625,44923,,,,9,0.75
488bbbaf-639d-4ae0-b277-b6cc91da2bac,屯門,大興花園 2期 8座  ,2,447,11185,,,,25,0.77
c69400db-f699-4888-b693-90b9a99bf98d,馬鞍山,迎海 4期 迎海．駿岸 8座  ,2,546,17857,38,,,3,
e30aad5f-26b0-43f3-b667-49d1fe1b36d1,西半山,駿豪閣  ,1,725,27586,,"3 
",1,26,0.79
8561b4d8-76e9-489f-8ddd-b945fbe8f954,青衣,青華苑 華奐閣 (A座)  ,2,415,12000,,"2 
",,33,0.74
4d190789-6d1b-41f5-892d-1575ea29d973,鯉景/嘉亨/逸濤/西灣河,鯉景灣 B段 逸康閣 (6座)  ,3,799,21276,,,,31,0.9
54b2f07c-89a5-4d0e-bfab-c098697f2466,天水圍,天頌苑 頌琴閣 (N座)  ,1,531,8097,,"2 
",,20,0.75
2d38b90a-28c6-4056-a903-065bbb09ebde,將軍澳,日出康城 2期A 領都 5座 (左翼)  ,3,672,11904,,"3 
",1,9,0.75
62a364c7-4c1c-433e-b742-13252aba49bf,大埔半山/康樂園,滌濤山   ,2,1101,12970,,,,17,0.75
a7f402ab-d4ca-4d5d-b05a-49ed5b5ffb97,大埔半山/康樂園,逸瓏灣 II 大廈6座  ,3,1568,35076,,,,4,
0ed84fd4-f7bd-4891-bc91-19cf18cc391f,尖沙咀/佐敦,港景峰 2座  ,1,920,31521,,,,17,0.71
1462d6bf-2518-4154-8974-73733aea5472,鯉景/嘉亨/逸濤/西灣河,逸濤灣 秋盈軒 (3座)  ,2,564,22163,50,,,18,0.75
ff1d0db7-4be6-411d-9ecc-f21b218047f0,太古城,太古城 星輝台 智星閣 (51座)  ,1,502,21912,,"1 
",1,38,0.84
81e50aef-67f3-4111-9af4-fcbb93948591,何文田/京士柏,雅麗居 1座  ,3,948,27215,42,"3 
",1,24,0.78
77c46744-6a66-4ce7-ae26-a2a77554a0a4,馬鞍山,銀湖‧天峰 6座  ,2,1012,16798,35,,,10,0.77
282e8004-0bd6-4872-80d4-c89e8945b126,貝沙灣,貝沙灣 4期  南灣 5座  ,1,1798,40044,,,,14,0.77
371f871e-592d-4e4f-907e-9b1474d92193,何文田/京士柏,欣圖軒 3座  ,3,478,17154,36,"2 
",,21,0.8
6a68ad4a-68e6-403d-b98b-57690b17d069,馬灣/珀麗灣,珀麗灣 3期 25座  ,2,532,11804,,"2 
",,14,0.78
78c9fc36-1081-44a6-8b98-a1dc7148f7d9,西半山,柏道2號  ,1,621,25764,61,"2 
",1,15,0.72
20ea159f-2992-437e-8033-ceb3e027e33d,火炭/沙田半山/九肚山,御龍山 1座  ,1,686,21137,,,,11,0.77
6d467649-8faa-43f5-b223-30b308227cec,將軍澳,維景灣畔 3期 11 座  ,3,543,18047,36,"2 
",,16,0.76
6a35d4d8-8ea3-4b7e-9d03-efa59497b502,東涌,東環 1期 3A座  ,2,378,14550,,,,3,
53fcf9b9-77db-4931-a040-ccd876a7f346,沙田,碧濤花園 2期 都美閣(D座)  ,1,1108,30505,63,,,26,0.7
2df29255-fad6-45e4-b1ca-1f0669a56cd6,馬鞍山,銀湖‧天峰 8座  ,2,690,15942,35,,,10,0.76
f3832f02-27b3-47a5-92f9-ea7342c0d403,大圍,名城 2期 盛薈 2座  ,1,678,17699,,,,9,0.75
b39b3fee-7706-4e0b-ac81-db7f65346eec,跑馬地/東半山,禮頓山 1座  ,1,1128,44326,,"3 
",1,17,0.76
77d5bfd6-e3f6-4d62-a5ad-f492212a8943,貝沙灣,貝沙灣 1期 3座  ,1,1188,33501,,,,15,0.82
bb0029e7-68ac-4893-884d-fb4bab6146c7,大圍,名城 2期 盛薈 1座  ,1,742,15902,,,,9,0.76
3893f2d3-200a-4c6f-8ca1-ec7414ac17e5,青衣,曉峰園 3座  ,3,780,12307,,"3 
",1,20,0.82
e88fdbbb-62d7-4fe9-993d-ac2cfb37b60b,荃灣,荃景花園 2期 8座  ,2,551,12885,,"3 
",1,31,0.81
1a616493-fbdd-4092-93ba-96827508446f,西半山,精緻園  ,3,1465,21843,,"3 
",1,44,0.84
ff15c35b-dda8-4ded-8275-88e3282bef6f,將軍澳,天晉 Iiia 5B座  ,3,655,19093,41,"3 
",1,3,
7e361e18-9fc5-4783-8329-420b3f35221f,貝沙灣,貝沙灣 4期  南灣 9座  ,3,649,26964,,,,14,0.79
1de168c1-2813-43bc-ad8a-26919db32a12,鯉景/嘉亨/逸濤/西灣河,柏匯  ,1,210,24761,,,,2,
a6776782-f700-4ed4-8ff1-9fd6545d132b,鯉景/嘉亨/逸濤/西灣河,嘉亨灣 5座  ,2,749,28037,,,,14,0.73
c810cf33-57de-48b9-993a-ab9af94abdd9,荃灣,昇柏山  ,3,749,11455,28,"3 
",1,5,
b3ab4744-5462-49bf-b276-66b334b5c3c5,海怡半島,海怡半島 4 期 御庭園 御林居 (33座)  ,3,686,15451,35,,,24,0.8
e32a293a-35ca-4f08-b86f-9b18abb3b2a3,堅尼地城/西營盤,Imperial Kennedy  ,3,558,24193,,"2 
",,3,0.78
467db21b-6a1f-421d-8b85-96d27c16836e,山頂/南區,環角道33號,,2340,29059,,"3 
",1,14,0.75
3b4d85e1-248a-48b2-92ba-e67907c4555b,西半山,殷榮閣  ,1,960,27708,,"3 
",1,26,0.79
8c19394c-f058-43d3-9025-7abdcf5939bc,西半山,威都閣  ,2,2320,31379,,"4 
",1,38,0.9
c05389df-0285-45a9-983f-9ab6314688ba,北角半山,寶馬山花園 1期 5座  ,3,751,20639,,"3 
",1,28,0.78
c3dd4cf4-d817-4067-8e5b-d5d25ccb2ced,何文田/京士柏,日和閣  ,2,1417,20324,35,"3 
",1,34,0.85
927976bd-73a6-4b87-b088-4fc4f1b0a462,海怡半島,海怡半島 1 期 海寧閣 (5座)  ,3,729,17558,,,,28,0.8
9c599cd7-5e19-4745-a529-47135e87b5ec,西半山,慧豪閣 2座  ,2,636,20833,,"2 
",1,25,0.77
5a0a7e8e-0ec4-428c-be08-f15096bdd357,九龍塘/畢架山,畢架山一號 2期 7座  ,3,1149,31331,,"3 
",1,15,0.74
bf3e8006-2756-48f0-8000-8cb36279691c,將軍澳,君傲灣 2座  ,3,516,15116,,"2 
",,13,0.76
1f2ac86a-78b9-49b1-bc11-9e67c14f70b3,將軍澳,日出康城 2期B 領峰 8座 (左翼)  ,3,721,11650,,"3 
",1,8,0.76
20daf9b3-9a11-4e61-b9f2-f05eeba38980,堅尼地城/西營盤,維壹  ,3,1127,26619,,"3 
",1,7,0.73
a7a80d23-b3af-47ef-8ccd-d438f299571e,上水/粉嶺,st. Andrew's Place,,3344,14952,,,,14,0.69
67dc0e11-6eae-4235-963c-c2a82a75c420,美孚/華景,美孚新邨 5期 蘭秀道1-3號  ,2,705,16312,,"3 
",1,46,
ac1f6cd2-83a7-42a9-87e4-4fcdf5a16ab4,馬鞍山,銀湖‧天峰 6座  ,1,1564,15984,37,,,10,0.76
23233d5a-2565-43e2-851a-714101d95074,跑馬地/東半山,上林 2座  ,2,788,28553,,"3 
",1,10,0.76
76b5b1d7-b44d-4d5a-8a27-fab4fb8fa7be,麗城/青山公路 荃灣段 ,麗城花園 3期 1座  ,3,742,11051,,"4 
",1,28,0.83
2a936bf0-7bfa-47d5-8f97-caec80174a2c,荃灣,海之戀 3期 8座  ,1,777,22239,,"3 
",1,1,
6d7f008f-8860-4974-b711-ab65bf9a8de9,西半山,慧明苑 2座  ,1,2136,37453,,"4 
",3,29,0.75
e81d4592-9358-4861-a054-b57e3284f193,九龍站,御金‧國峰 5座  ,1,984,122000,,,,7,0.77
1ca5ef9a-6e08-4b7f-b79d-4d08dfa4e77c,何文田/京士柏,Kadoorie Hill  ,2,1070,23831,56,"3 
",1,6,0.75
e5dec61d-dce0-45c3-bd78-229917693455,大圍,溱岸8號 2座  ,1,1262,23676,,,,7,0.76
dc7877cb-eb75-4fd0-8f7d-b54c4cbca8a4,鯉景/嘉亨/逸濤/西灣河,嘉亨灣 2座  ,1,490,24489,,,,14,0.71
1082d7d6-ceb8-4887-830d-f6f47fb884bd,九龍塘/畢架山,碧華花園 10座  ,3,1211,20644,,,,39,0.93
792d88f4-67e4-47ba-9735-684e4dc29e0f,黃埔/海逸,海濱南岸 5座  ,3,590,20000,,,,17,0.77
adc27aeb-ba8b-4d56-a26e-8b28d31e78a2,九龍站,御金‧國峰 1座  ,3,1132,35335,,"4 
",1,7,0.77
3036745f-caab-42cd-913f-c16869f76f6b,西半山,帝豪閣 C座  ,1,1196,28428,,"3 
",1,23,0.78
1dfa0909-d029-4418-8bc5-40b28721e8c9,鯉景/嘉亨/逸濤/西灣河,嘉亨灣 3座  ,1,1129,25509,,,,14,0.74
a354ced2-e0e0-4ca6-9706-b43c70414afd,鯉景/嘉亨/逸濤/西灣河,鯉景灣 D段 安屏閣 (14座)  ,3,629,16693,,"3 
",1,31,0.84
61830ae1-c88d-46f8-a1cc-865c2a3b4801,九龍塘/畢架山,碧華花園 5座  ,1,1211,20644,,"3 
",1,38,0.93
cb5b39b7-6ee1-49b1-a00d-1f3ebe536fd5,西半山,恆柏園 B座  ,1,1772,23419,,"4 
",1,46,0.75
3036745f-caab-42cd-913f-c16869f76f6b,西半山,帝豪閣 C座 ,1,1196,28428,,3,1,23,0.78
61830ae1-c88d-46f8-a1cc-865c2a3b4801,九龍塘/畢架山,碧華花園 5座 ,1,1211,20644,,3,1,38,0.93
cb5b39b7-6ee1-49b1-a00d-1f3ebe536fd5,西半山,恆柏園 B座 ,1,1772,23419,,4,1,46,0.75
a484b785-9695-4095-8d22-32355a459c35,麗城/青山公路(荃灣段),麗城花園 3期 6座 ,3,728,11675,,3,1,29,0.86
07b4fded-d38a-4ac6-b033-a4db985e88a0,大埔墟/太和,大埔中心 3期 20座 ,1,315,14571,,2,,34,0.73
d820caef-cfdb-4c6f-a2b7-4511cf4f6267,黃埔/海逸,海逸豪園 2期 玉庭軒 6座 ,1,583,20240,,2,,18,0.8
0e1316f1-de31-4181-b9e7-2650ab00ec56,美孚/華景,美孚新邨 6期 恆柏街6-8號 ,2,612,13888,,2,,45,
9a0b5c7d-fc19-4ed2-a2ae-75d8798a3f0c,紅磡,城中匯 ,2,410,19878,,,,4,
2bcf2102-560c-4f93-ab4f-49048990a9b1,土瓜灣,翔龍灣 3座 ,1,809,30902,,,,13,0.67
f12b91df-b241-4b14-85e5-a28a20501ae1,九龍站,天璽 21座 - 5區 (星鑽) ,2,831,54151,,,,12,0.74
47431f5b-b6d4-4680-96e5-38f612c09aff,西半山,樂信臺 3座 ,3,746,23458,,3,1,30,0.84
c6b61a91-0264-4302-aa46-c7a1924e7be7,西半山,年豐園 2座 ,1,1548,27777,,3,1,44,0.89
a8f5cc30-d967-4fb8-8e84-2332702ed90c,西半山,駿豪閣 ,2,521,23032,54,1,,26,0.78
e7222c74-18fe-4a7c-bdb3-3d3ef3482d36,鯉景/嘉亨/逸濤/西灣河,嘉亨灣 2座 ,2,662,23867,54,,,14,0.73
a87e704d-c2bb-4635-97c4-e38c32429d14,貝沙灣,貝沙灣,,8380,53699,,,,12,0.66
ec54c40b-ddc3-4120-9221-a32395b0adb6,西半山,美景臺 B1座(A-B座) ,3,1963,19816,,4,1,42,0.89
1b5b1aca-efe7-41d9-ac29-96b5a6acad77,西半山,輝煌臺 ,2,511,24853,63,3,,23,0.75
69135907-9f0a-45e4-b42f-7f7e5a6a1377,北角半山,寶馬臺 E-H座 ,1,718,16016,,3,1,45,0.84
b579cb46-37d4-4ae3-b440-0c8aca15b511,馬鞍山,銀湖‧天峰 1座 ,3,1001,15784,,4,1,10,0.76
b2bce721-83b9-4fc2-a311-9d554f1a505b,西半山,寶翠園 2期 8座 ,2,1271,29110,,4,1,18,0.78
de032884-44a9-456d-bf72-6c2cbfe4a421,將軍澳,天晉 II 2B座 ,2,648,19290,,,,5,0.78
a7e8f987-5415-48a7-9d2c-76b376883530,北角/炮台山,豪廷峰 2座 ,3,792,22474,,1,1,19,0.75
d5cade53-05eb-4015-b151-c3e3ddf6a469,何文田/京士柏,爵士花園 3座 ,2,1028,21887,,3,1,24,0.8
13414c41-1f01-488b-b8fd-1071248dac9f,貝沙灣,貝沙灣 4期  南灣 9座 ,3,1100,27272,49,,,14,0.73
2f9b8000-ea81-4972-a074-a546a89ead82,屯門,南岸 ,1,1203,24937,,3,1,9,0.75
b3744420-2bc1-4382-9127-c2dbe080fd9a,跑馬地/東半山,晉寶大廈 ,3,357,27450,70,1,,35,0.72
ec4329da-33a1-4e08-b13b-2e8acccce0b3,山頂/南區,陽明山莊 摘星樓 14座 ,2,1441,41498,,3,,31,0.78
fce22f7f-b497-42a0-a302-b5e6700df42b,鰂魚涌/康怡,康怡花園 A座 (1-8室) ,3,710,19436,,3,1,33,
3ea76a6d-95a0-41d0-8289-f68e1fc66171,荃灣,萬景峰 2座 ,3,522,16858,42,,,12,0.76
7aa2a9b2-4dfb-49a9-8a14-7096146f9a51,奧運站,一號銀海 8座 ,3,746,28150,,3,1,13,0.74
7a336cb0-7e94-4689-8dc7-6443e3682e2a,何文田/京士柏,布力架街34G號 ,1,1485,25589,38,3,1,63,
85775d8a-3ce8-4c29-9556-8903ea9d261d,荃灣,爵悅庭 東爵軒 (A1) ,2,464,14008,36,,,14,0.71
5dc6e19d-112a-447f-8bbc-a96c120e4876,旺角/油麻地,奧朗‧御峰 ,2,321,20498,,1,,5,0.73
e986bb3e-9d4a-4afb-9106-de84e52a0785,九龍站,擎天半島 1期 6座 ,2,853,29073,,,,17,0.76
70de5fd5-b090-4efc-9c83-e71201fa1e5e,上環/中環/金鐘,匯賢居 ,2,474,25316,,1,,13,0.73
63889b97-d045-4c84-b9d7-6875e220d02d,九龍灣/牛池灣,德福花園 J座 ,3,538,14126,,,,38,0.89
d4ce4cc7-002d-4ab9-8eee-e6abb0eb54bc,青衣,綠悠雅苑 1座 ,1,449,11135,,1,,,
efe362c0-daf9-44e0-a9e5-28e2d6ee6e84,北角/炮台山,海峰園 3座(南峰閣) ,1,667,21439,,2,,31,0.86
291114fe-b2d9-4a2e-aad4-3394819d43dc,九龍站,The Austin 2A座 ,2,581,29259,52,,,5,
2830fbd6-84da-4161-8a16-ce5aa5c3ec8a,西半山,俊傑花園 ,2,783,22094,,3,1,23,0.79
c4825b37-6c51-4c88-a4e0-6c5b9ccb0408,西半山,蔚然 ,3,1301,34588,,3,1,7,0.77
aea62af4-5625-4756-b39a-642458fb5090,北角半山,金龍大廈 B座 ,1,1143,19947,,3,1,39,0.9
f76386a2-4cd1-42c5-a4d3-03f5d5ea6e02,北角/炮台山,形品 ,3,551,17422,,,,8,0.77
865c350b-ece4-4a4f-90b9-b7e97385046f,屯門,翠林花園 E座 ,3,602,10797,,,,30,0.78
d2d5b0d2-06af-4087-aaac-1cbb5c823b19,大埔半山/康樂園,嵐山 1期 8座 ,3,749,10013,,3,1,5,
a32f32ea-8712-4cd5-8f9f-2f2e52864771,啟德,嘉匯 2座 ,3,508,21575,35,2,,1,
01dd5bfc-db29-4ca8-9322-3d8f77928853,將軍澳,新都城 3期 都會豪庭 4座 ,1,470,16340,,2,,20,0.73
a99b7192-a611-4150-b0b4-23d86bdb653e,鰂魚涌/康怡,南豐新邨 12座 ,3,391,17647,,2,,41,
3c672793-3131-4fef-996c-a62209dc15b7,天水圍,嘉湖山莊 6期 美湖居 6座 ,2,540,10648,25,3,,22,0.76
87184308-8919-4d12-a112-4f10012a9635,鰂魚涌/康怡,逸樺園 2座 ,3,896,22098,,4,2,16,0.8
8346e161-0fdb-44c9-8f58-dd69199b2aad,鯉景/嘉亨/逸濤/西灣河,嘉亨灣 6座 ,2,503,23856,,2,,14,0.75
b89a2970-3962-4156-b918-c0500263615d,將軍澳,日出康城 2期B 領峰 6座 (左翼) ,1,985,12690,,4,1,8,0.75
ff736332-9f91-496d-81bf-c7d40ab91f4e,鯉景/嘉亨/逸濤/西灣河,港島‧東18 ,1,356,22415,,,,7,0.72
0b5c4791-9fd6-4b87-8818-475d22aa5f90,何文田/京士柏,公主台 ,1,1259,16123,,4,1,52,
65e6c3bc-54f7-4fc8-82b5-e52873551ef7,鯉景/嘉亨/逸濤/西灣河,嘉亨灣 2座 ,1,673,25260,,,,14,0.73
7c2141f9-ba88-40ad-8335-ee3c55abdf07,九龍站,君臨天下 3座 ,2,1062,36534,,3,1,16,0.73
5ab3fe60-3822-4cf7-896e-aea705e41942,奧運站,帝峰‧皇殿 6座 ,3,300,24000,,,,9,0.8
257cb273-add4-4705-86c3-08ab18215c01,東涌,藍天海岸 3期 影岸‧紅 B座 (8座) ,2,539,13914,,,,13,0.73
6f5a8939-f0f7-4a66-a4d0-7bb5690f3be9,天水圍,嘉湖山莊 2期 賞湖居 4座 ,2,448,10714,26,2,,26,0.76
c068a0da-9402-4f63-8a19-c1d46e3b5c58,美孚/華景,華員邨 華信閣 (5座) ,3,535,11775,,2,,38,
ca51054e-eb5d-4d55-a3f0-54c3c02e1767,天水圍,嘉湖山莊 6期 美湖居 4座 ,1,544,11948,,,,22,0.77
c814c75c-36ee-4b72-8857-fb55fabf217e,奧運站,港灣豪庭 2期 7座 ,2,348,19540,46,,,16,0.7
ab5e4e58-d77b-498b-b74b-d545b844f376,何文田/京士柏,明德園 ,2,1270,12204,,3,1,55,0.84
9c29cf05-f3fc-43d9-908a-3f82d818e8a2,太古城,太古城 觀海台 東海閣 (45座) ,3,572,20104,,,,35,0.85
e02cde4b-6da1-44b9-a692-e5f34ab79fa4,西半山,樂信臺 3座 ,1,746,26541,56,2,1,30,0.84
9d3dfd49-6960-48b6-8f0c-ec09746eb551,將軍澳,東港城 2座 ,1,623,14767,,3,1,22,0.78
e42adaff-d68c-464d-acb5-ae07ad2c793b,天水圍,天盛苑 盛坤閣 (Q座) ,3,506,8102,,,,19,0.76
3a7748fc-9c87-45d5-a17f-df3d1e0583a8,西半山,帝豪閣 A座 ,2,959,22815,,3,1,23,0.75
5905284d-94a5-40db-a65a-3b274b106615,九龍塘/畢架山,嘉皇臺 ,2,1039,31761,51,3,1,17,0.76
b6f3a91b-f9b2-49b0-99a3-36477f363c6f,又一村/石硤尾,又一居 14座 ,3,603,20729,48,3,1,27,0.8
2862c241-9f2d-419a-b2b7-96eae28a0da1,將軍澳,清水灣半島 1期 1座 ,1,1041,13928,,5,2,18,0.76
055fbe5a-649d-4395-b34a-9f9bc94d0e5e,大埔半山/康樂園,比華利山別墅 1期 萊茵道 洋15,,1606,10273,,,,17,0.59
a24c65ae-25f6-424f-a0a3-16303545c9c2,荃灣,萬景峰 1座 ,3,829,18697,45,,,12,0.75
4b3f1efc-9203-4a4e-8f60-8137056431a5,北角半山,恆景園 ,3,1582,23388,41,4,1,45,0.81
8dcf4429-8321-402c-a35d-7ed3b22a5c94,跑馬地/東半山,浩利大廈 ,1,727,20357,,2,,52,0.86
67d2fce7-c4c7-4b42-b2d6-14286a3737bb,鑽石山/黃大仙,峻弦 2座 ,1,497,19114,44,,,9,0.77
7754a3fb-6307-4330-8e7f-16b27318e5b5,又一村/石硤尾,又一村花園 3期 B13座(28號) ,3,801,27215,50,3,1,32,0.84
24333c74-b0d8-4cf8-b223-f7809f4cc6ac,將軍澳,將軍澳中心 2期 11座 ,3,406,16256,,2,,16,0.74
91bb5156-b725-48b3-a08b-e4c1a647543f,將軍澳,峻瀅 1期 2座 ,1,498,13052,,2,,6,0.76
7e49e5f1-3074-43db-9aec-1bd58aa74e52,荃灣,海之戀 3期 7座 ,3,773,23290,39,3,1,1,
707e12b7-7e1a-43fd-925e-6d2508f64968,西半山,嘉富臺 ,2,619,24555,,3,,24,0.72
c82065ec-7d38-40f5-960c-1d0d69a28b68,荃灣,柏傲灣 1A座 ,2,826,25181,,3,1,1,
8273b0e4-3e6a-4d21-b2c5-f38876d971e5,何文田/京士柏,帝庭園 6座 ,3,1215,22633,,3,1,23,0.85
420a817f-2d03-4647-83c5-a669c2c2a063,馬鞍山,迎海 3期 迎海‧星灣御 22座 ,1,496,15725,38,,,4,
f0840fec-59ce-462b-87fe-3eb42d2ff4fa,奧運站,帝峰‧皇殿 8座 ,1,827,31438,,4,1,9,0.76
61155559-8523-4a36-a887-1fde7c412f70,荃灣,怡景園 2座 ,1,616,15227,,,,31,0.78
45d4b2e7-c8e1-485e-aac1-60efa8cc46f5,上水/粉嶺,御皇庭 1座 ,1,372,13440,27,,,13,0.73
5aaaaf80-69e1-4a76-8c33-e41972c8d694,將軍澳,天晉 Iiia 3B座 ,2,606,21122,,3,,3,
ab51facd-1fd1-48c8-8d68-d28cfd26adcc,中半山,恆翠園 ,3,1083,24007,,3,2,43,0.8
0af1765b-247b-4368-825c-9f4c92438aca,西半山,福熙苑 ,1,621,19806,52,2,1,27,0.79
ab02d4f4-e067-47e5-a0a6-1e78e494eda7,西半山,殷樺花園 第二期 ,3,818,24205,,3,1,24,0.79
a40086dd-c439-4e7e-9a70-291ae564db22,何文田/京士柏,半山壹號 1期 半山徑29號 ,2,1252,22364,,,,10,0.77
ac47f926-d5ea-4ac8-9390-2ffc83f21534,灣仔/銅鑼灣,華高大廈 ,2,1023,14760,,3,,55,0.79
d181b7fa-323d-434d-aa9c-98033ef7bc15,九龍塘/畢架山,尚御 3座 ,2,989,25783,,3,1,8,0.77
6f39ac6d-d50d-4767-b0d1-1fb264146c68,又一村/石硤尾,又一居 20座 ,3,675,20740,47,3,1,27,0.8
f9b450b3-7e58-4561-9e39-5e289adcdf2c,何文田/京士柏,御龍居 2座 ,3,792,15782,43,3,1,21,0.8
e5f3158e-bf6b-45da-b336-fa5851e1a929,北角/炮台山,維多利大廈 ,3,1321,20287,,2,,55,0.73
faf0093d-a98c-499e-a6c4-badc6d155c6f,北角半山,瓊峰園 C座 ,2,2379,28583,42,4,1,49,0.95
c53a8250-33e9-4c52-9514-fa4297d51390,大埔半山/康樂園,天賦海灣 1期 19座 ,2,987,12765,,3,1,7,0.78
24830b0e-a5fe-4fd4-85c8-5aabd29a8867,大埔半山/康樂園,天賦海灣 2期 溋玥 11座 ,2,645,13178,37,,,7,0.79
e3a3b609-5b9d-4f2a-b9a1-1ad77b5701eb,上水/粉嶺,天巒,,2771,31757,,,,63,
cd248332-25f0-4111-a1c4-6c9727c04d00,太古城,太古城 海天花園 啟天閣 (55座) ,3,759,19038,,3,1,33,0.87
c66805f0-eebf-4e84-a304-5db8f205dad9,太古城,太古城 高山台 東山閣 (6座) ,2,704,19886,,2,,41,0.88
27e672aa-8652-42b1-a45e-4b5b474be0d9,西半山,康威園 Ab座 ,1,1550,24193,,4,,47,0.86
9ee88d04-c3d8-4a39-82ac-05eaa789b914,長沙灣西,星匯居 1座 ,2,670,17164,,3,1,11,0.74
07dae78e-8244-4c67-beb0-651ac4859bd4,荃灣,樂悠居 ,2,424,14622,,2,,14,0.72
d4c7cbcf-05dc-4391-8659-5a5b8adb5f5e,鑽石山/黃大仙,星河明居 C座 ,1,593,16526,,3,,21,0.78
3e5558b2-65a1-49c3-a4b2-372b67bb8c7a,啟德,嘉匯 1座 ,3,372,31162,40,1,,1,
